P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
0,0.166205382,4.55357E-07,,0,0.116066496,3.18E-07
-36,0.166205382,4.55357E-07,,36,0.116066496,3.18E-07
-72,0.166205382,4.55357E-07,,72,0.116066496,3.18E-07
-108,0.166205382,4.55357E-07,,108,0.116066496,3.18E-07
-144,0.166205382,4.55357E-07,,144,0.116066496,3.18E-07
-180,0.166205382,4.55357E-07,,180,0.116066496,3.18E-07
-216,0.166205382,4.55357E-07,,216,0.116066496,3.18E-07
-252,0.166205382,4.55357E-07,,252,0.116066496,3.18E-07
-288,0.166205382,4.55357E-07,,288,0.116066496,3.18E-07
-324,0.16634545,4.55741E-07,,324,0.116066496,3.18E-07
-360,0.166485924,4.56126E-07,,360,0.116066496,3.18E-07
-396,0.166626807,4.56512E-07,,396,0.116066496,3.18E-07
-432,0.166762255,4.56883E-07,,432,0.116066496,3.18E-07
-468,0.16690394,4.57271E-07,,468,0.116066496,3.18E-07
-504,0.167046038,4.5766E-07,,504,0.116066496,3.18E-07
-540,0.167188548,4.58051E-07,,540,0.116066496,3.18E-07
-576,0.16732631,4.58428E-07,,576,0.116066496,3.18E-07
-612,0.167469636,4.58821E-07,,612,0.116066496,3.18E-07
-648,0.167613378,4.59215E-07,,648,0.116066496,3.18E-07
-684,0.167757539,4.5961E-07,,684,0.116066496,3.18E-07
-720,0.167901717,4.60005E-07,,720,0.116066496,3.18E-07
-756,0.168046717,4.60402E-07,,756,0.116066496,3.18E-07
-792,0.168192139,4.608E-07,,792,0.116066496,3.18E-07
-828,0.168337985,4.612E-07,,828,0.116066496,3.18E-07
-864,0.168483849,4.616E-07,,864,0.116066496,3.18E-07
-900,0.168630545,4.62001E-07,,900,0.116066496,3.18E-07
-936,0.168777668,4.62405E-07,,936,0.116066496,3.18E-07
-972,0.16892522,4.62809E-07,,972,0.116066496,3.18E-07
-1008,0.169072791,4.63213E-07,,1008,0.116066496,3.18E-07
-1044,0.169221203,4.6362E-07,,1044,0.116066496,3.18E-07
-1080,0.169370049,4.64028E-07,,1080,0.116066496,3.18E-07
-1116,0.169519329,4.64437E-07,,1116,0.116066496,3.18E-07
-1152,0.169668629,4.64846E-07,,1152,0.116066496,3.18E-07
-1188,0.16981878,4.65257E-07,,1188,0.116066496,3.18E-07
-1224,0.16996937,4.6567E-07,,1224,0.116066496,3.18E-07
-1260,0.1701204,4.66083E-07,,1260,0.116066496,3.18E-07
-1296,0.170270011,4.66493E-07,,1296,0.116066496,3.18E-07
