P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
0,0,4.55E-07,0.00E+00
-11.93418261,0.000331505,4.55E-07,1.51E-10
-47.93171941,0.001331437,4.56E-07,6.07E-10
-83.92629451,0.002331286,4.56E-07,1.06E-09
-119.9179086,0.003331053,4.57E-07,1.52E-09
-154.4201664,0.004289449,4.57E-07,1.96E-09
-190.405983,0.005289055,4.57E-07,2.42E-09
-226.3888409,0.006288579,4.58E-07,2.88E-09
-262.3687406,0.007288021,4.58E-07,3.34E-09
-297.048052,0.008251335,4.58E-07,3.78E-09
-333.0221444,0.009250615,4.59E-07,4.25E-09
-368.9932809,0.010249813,4.59E-07,4.70E-09
-404.9614622,0.01124893,4.60E-07,5.17E-09
-440.8269619,0.012245193,4.60E-07,5.63E-09
-476.7892432,0.013244146,4.60E-07,6.09E-09
-512.7485715,0.014243016,4.61E-07,6.57E-09
-548.7049476,0.015241804,4.61E-07,7.03E-09
-584.5586776,0.016237741,4.62E-07,7.50E-09
-620.5091594,0.017236366,4.62E-07,7.96E-09
-656.4566912,0.018234908,4.62E-07,8.42E-09
-692.4012736,0.019233369,4.63E-07,8.91E-09
-728.2432455,0.020228979,4.63E-07,9.37E-09
-764.1819395,0.021227276,4.64E-07,9.85E-09
-800.1176863,0.022225491,4.64E-07,1.03E-08
-836.0504867,0.023223625,4.64E-07,1.08E-08
-871.8807121,0.024218909,4.65E-07,1.13E-08
-907.8076299,0.025216879,4.65E-07,1.17E-08
-943.7316033,0.026214767,4.66E-07,1.22E-08
-979.6526331,0.027212573,4.66E-07,1.27E-08
-1015.130208,0.028198061,4.66E-07,1.31E-08
-1051.045389,0.029195705,4.67E-07,1.36E-08
-1086.957629,0.030193267,4.67E-07,1.41E-08
-1122.866928,0.031190748,4.68E-07,1.46E-08
-1157.820546,0.032161682,4.68E-07,1.51E-08
-1193.724043,0.033159001,4.69E-07,1.56E-08
-1229.624602,0.034156239,4.69E-07,1.60E-08
-1265.522224,0.035153395,4.69E-07,1.65E-08
-1300.464477,0.036124013,4.70E-07,1.70E-08
-1336.356302,0.037121008,4.70E-07,1.74E-08
-1372.245192,0.038117922,4.71E-07,1.80E-08
-1408.131147,0.039114754,4.71E-07,1.84E-08
-1443.062047,0.040085057,4.72E-07,1.89E-08
-1478.942212,0.041081728,4.72E-07,1.94E-08
-1514.819444,0.042078318,4.72E-07,1.99E-08
-1550.693744,0.043074826,4.73E-07,2.04E-08
-1585.6133,0.044044814,4.73E-07,2.08E-08
-1621.481816,0.045041162,4.74E-07,2.13E-08
-1657.347402,0.046037428,4.74E-07,2.18E-08
-1693.210059,0.047033613,4.75E-07,2.23E-08
-1728.118283,0.048003286,4.75E-07,2.28E-08
-1763.975161,0.04899931,4.75E-07,2.33E-08
-1799.829112,0.049995253,4.76E-07,2.38E-08
-1835.680137,0.050991115,4.76E-07,2.43E-08
-1870.57704,0.051960473,4.77E-07,2.48E-08
-1906.422292,0.052956175,4.77E-07,2.53E-08
-1942.264619,0.053951795,4.78E-07,2.58E-08
-1978.104023,0.054947334,4.78E-07,2.63E-08
-2012.989617,0.055916378,4.79E-07,2.68E-08
-2048.823253,0.056911757,4.79E-07,2.73E-08
-2084.653968,0.057907055,4.79E-07,2.77E-08
-2120.481762,0.058902271,4.80E-07,2.83E-08
-2155.356057,0.059871002,4.80E-07,2.87E-08
-2191.178089,0.060866058,4.81E-07,2.93E-08
-2226.997203,0.061861033,4.81E-07,2.98E-08
-2262.813398,0.062855928,4.82E-07,3.03E-08
-2297.676406,0.063824345,4.82E-07,3.08E-08
-2333.486845,0.064819079,4.83E-07,3.13E-08
-2369.294369,0.065813732,4.83E-07,3.18E-08
-2405.098978,0.066808305,4.84E-07,3.23E-08
-2439.950708,0.067776409,4.84E-07,3.28E-08
-2475.749566,0.068770821,4.84E-07,3.33E-08
-2511.545511,0.069765153,4.85E-07,3.38E-08
-2547.338544,0.070759404,4.85E-07,3.43E-08
-2582.179009,0.071727195,4.86E-07,3.49E-08
-2617.966297,0.072721286,4.86E-07,3.53E-08
-2653.750674,0.073715297,4.87E-07,3.59E-08
-2689.532143,0.074709226,4.87E-07,3.64E-08
-2724.361352,0.075676704,4.88E-07,3.69E-08
-2760.137081,0.076670474,4.88E-07,3.74E-08
-2795.909903,0.077664164,4.89E-07,3.80E-08
-2831.679818,0.078657773,4.89E-07,3.85E-08
-2866.497783,0.079624938,4.90E-07,3.90E-08
-2902.261964,0.080618388,4.90E-07,3.95E-08
-2938.02324,0.081611757,4.91E-07,4.01E-08
-2973.781613,0.082605045,4.91E-07,4.06E-08
-3008.588345,0.083571898,4.92E-07,4.11E-08
-3044.34099,0.084565028,4.92E-07,4.16E-08
-3080.090732,0.085558076,4.93E-07,4.22E-08
-3115.837574,0.086551044,4.93E-07,4.27E-08
-3150.633084,0.087517586,4.94E-07,4.32E-08
-3186.374203,0.088510395,4.94E-07,4.37E-08
-3222.112423,0.089503123,4.95E-07,4.43E-08
-3257.847745,0.090495771,4.95E-07,4.48E-08
-3292.632043,0.091462001,4.96E-07,4.54E-08
-3328.361648,0.09245449,4.96E-07,4.59E-08
-3364.088356,0.093446899,4.97E-07,4.64E-08
-3399.812169,0.094439227,4.97E-07,4.69E-08
-3434.585267,0.095405146,4.98E-07,4.75E-08
-3470.303368,0.096397316,4.98E-07,4.80E-08
-3506.018576,0.097389405,4.99E-07,4.86E-08
-3541.730892,0.098381414,4.99E-07,4.91E-08
-3576.492799,0.099347022,5.00E-07,4.97E-08
-3612.199409,0.100338872,5.00E-07,5.02E-08
-3647.903127,0.101330642,5.01E-07,5.08E-08
-3683.603956,0.102322332,5.01E-07,5.13E-08
-3718.252814,0.1032848,5.02E-07,5.18E-08
-3753.94795,0.104276332,5.02E-07,5.23E-08
-3789.640199,0.105267783,5.03E-07,5.29E-08
-3825.329561,0.106259154,5.03E-07,5.34E-08
-3859.612945,0.107211471,5.04E-07,5.40E-08
-3895.296649,0.108202685,5.04E-07,5.45E-08
-3930.977467,0.109193819,5.05E-07,5.51E-08
-3966.655401,0.110184872,5.05E-07,5.56E-08
-4000.92781,0.111136884,5.06E-07,5.62E-08
-4036.600092,0.11212778,5.06E-07,5.67E-08
-4072.269491,0.113118597,5.07E-07,5.74E-08
-4107.936008,0.114109334,5.07E-07,5.79E-08
-4142.197452,0.11506104,5.08E-07,5.85E-08
-4177.858322,0.11605162,5.08E-07,5.90E-08
-4213.516313,0.11704212,5.09E-07,5.96E-08
-4249.171425,0.11803254,5.10E-07,6.02E-08
-4283.421914,0.118983942,5.10E-07,6.07E-08
-4319.071384,0.119974205,5.11E-07,6.13E-08
-4354.717977,0.120964388,5.11E-07,6.18E-08
-4390.361695,0.121954492,5.12E-07,6.24E-08
-4424.60124,0.12290559,5.12E-07,6.29E-08
-4460.239321,0.123895537,5.13E-07,6.36E-08
-4495.874527,0.124885404,5.13E-07,6.41E-08
-4531.506861,0.125875191,5.14E-07,6.47E-08
-4565.735473,0.126825985,5.14E-07,6.52E-08
-4601.362175,0.127815616,5.15E-07,6.58E-08
