P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out
0,0,0,,0,0,0
-36,-36,0,,36,36.01390742,0.013907424
-72,-72,0,,72,72.03101035,0.031010348
-108,-108,0,,108,108.0513092,0.051309198
-144,-144,0,,144,144.0748542,0.074854195
-180,-180,0,,180,180.1015586,0.101558629
-216,-216,0,,216,216.1314603,0.131460268
-252,-252,0,,252,252.1645595,0.16455954
-288,-288.0039285,-0.003928505,,288,288.2009565,0.200956501
-324,-324.0177498,-0.017749753,,324,324.2404648,0.240464782
-360,-360.0345308,-0.034530827,,360,360.283172,0.283171978
-396,-396.054271,-0.054270997,,396,396.3290785,0.329078517
-432,-432.0762358,-0.076235842,,432,432.3783343,0.378334322
-468,-468.101831,-0.101831004,,468,468.4306533,0.4306533
-504,-504.1303831,-0.130383092,,504,504.4861729,0.486172904
-540,-540.1618914,-0.161891377,,540,540.5448936,0.544893563
-576,-576.1955014,-0.19550139,,576,576.6070151,0.607015105
-612,-612.2328667,-0.232866675,,612,612.6721516,0.672151637
-648,-648.273186,-0.273185989,,648,648.7404905,0.740490511
-684,-684.3164586,-0.316458604,,684,684.8120322,0.812032153
-720,-720.3626018,-0.362601805,,720,720.8870263,0.887026332
-756,-756.4117748,-0.411774755,,756,756.9649873,0.964987289
-792,-792.4638988,-0.463898827,,792,793.0461523,1.046152302
-828,-828.5189733,-0.518973292,,828,829.1305218,1.130521801
-864,-864.5768991,-0.576899102,,864,865.2183955,1.218395529
-900,-900.6378681,-0.637868097,,900,901.3091878,1.309187787
-936,-936.7017853,-0.701785308,,936,937.4031858,1.40318582
-972,-972.76865,-0.768650011,,972,973.5003901,1.500390059
-1008,-1008.838347,-0.838346846,,1008,1009.60115,1.601150258
-1044,-1044.9111,-0.911100281,,1044,1045.704781,1.704780705
-1080,-1080.986799,-0.986799034,,1080,1081.811619,1.811618649
-1116,-1117.065442,-1.065442381,,1116,1117.921665,1.921664521
-1152,-1153.146899,-1.146898672,,1152,1154.035318,2.035318121
-1188,-1189.231425,-1.231424965,,1188,1190.151794,2.151793656
-1224,-1225.318894,-1.318893681,,1224,1226.271478,2.271478411
-1260,-1261.409304,-1.409304097,,1260,1262.394373,2.394372818
-1296,-1297.502004,-1.502004457,,1296,1298.520927,2.520926761
-1332,-1333.598278,-1.598278131,,1332,1334.650254,2.65025429
-1368,-1369.697491,-1.697491343,,1368,1370.782793,2.782792767
-1404,-1405.799643,-1.799643372,,1404,1406.918543,2.918542622
-1440,-1441.903169,-1.903169497,,1440,1443.058004,3.058003859
-1476,-1478.011158,-2.011158156,,1476,1479.20019,3.200190301
-1512,-1514.122083,-2.12208348,,1512,1515.345589,3.345589418
-1548,-1550.235945,-2.235944748,,1548,1551.494202,3.494201644
-1584,-1586.351022,-2.351021962,,1584,1587.646577,3.646577136
-1620,-1622.470714,-2.47071417,,1620,1623.801629,3.801629418
-1656,-1658.59334,-2.593340174,,1656,1659.959896,3.959896107
-1692,-1694.718899,-2.718899255,,1692,1696.121378,4.121377635
-1728,-1730.845516,-2.845516336,,1728,1732.286674,4.286674354
-1764,-1766.976901,-2.976900676,,1764,1768.454599,4.454599413
-1800,-1803.111216,-3.111215948,,1800,1804.625741,4.625740613
-1836,-1839.248461,-3.248461433,,1836,1840.800098,4.800098388
-1872,-1875.386607,-3.386607179,,1872,1876.978323,4.978323313
-1908,-1911.529672,-3.529672251,,1908,1913.159128,5.159128098
-1944,-1947.675665,-3.675665396,,1944,1949.343151,5.343150759
-1980,-1983.824586,-3.824585895,,1980,1985.530392,5.530391731
-2016,-2019.974249,-3.974249124,,2016,2021.721552,5.721551855
-2052,-2056.128984,-4.128983547,,2052,2057.915243,5.915243322
-2088,-2092.286643,-4.286643189,,2088,2094.112154,6.112154405
-2124,-2128.447227,-4.447227331,,2124,2130.312286,6.312285538
-2160,-2164.608397,-4.608396875,,2160,2166.516388,6.516387861
-2196,-2200.774789,-4.774789289,,2196,2202.722973,6.722972978
