P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out
0,0,0,,0,0,0
-36,0,36,,36,4.132468878,31.86753112
-72,0,72,,72,14.82653411,57.17346589
-108,0,108,,108,30.24299786,77.75700214
-144,0,144,,144,49.13829982,94.86170018
-180,0,180,,180,70.7374636,109.2625364
-216,0,216,,216,94.43120595,121.5687941
-252,0,252,,252,119.7918724,132.2081276
-288,-11.93418261,276.0658174,,288,146.4280233,141.5719767
-324,-47.93171941,276.0682806,,324,174.2337755,149.7662245
-360,-83.92629451,276.0737055,,360,202.9579295,157.0420705
-396,-119.9179086,276.0820914,,396,232.4528218,163.5471782
-432,-154.4201664,277.5798336,,432,262.49697,169.50303
-468,-190.405983,277.594017,,468,293.1963612,174.8036388
-504,-226.3888409,277.6111591,,504,324.3767026,179.6232974
-540,-262.3687406,277.6312594,,540,355.9740979,184.0259021
-576,-297.048052,278.951948,,576,387.8079864,188.1920136
-612,-333.0221444,278.9778556,,612,420.0836722,191.9163278
-648,-368.9932809,279.0067191,,648,452.6414448,195.3585552
-684,-404.9614622,279.0385378,,684,485.4492959,198.5507041
-720,-440.8269619,279.1730381,,720,518.3340903,201.6659097
-756,-476.7892432,279.2107568,,756,551.5597805,204.4402195
-792,-512.7485715,279.2514285,,792,584.9643861,207.0356139
-828,-548.7049476,279.2950524,,828,618.5301371,209.4698629
-864,-584.5586776,279.4413224,,864,652.0812713,211.9187287
-900,-620.5091594,279.4908406,,900,685.9214422,214.0785578
-936,-656.4566912,279.5433088,,936,719.8817356,216.1182644
-972,-692.4012736,279.5987264,,972,753.9515058,218.0484942
-1008,-728.2432455,279.7567545,,1008,787.9493522,220.0506478
-1044,-764.1819395,279.8180605,,1044,822.2081377,221.7918623
-1080,-800.1176863,279.8823137,,1080,856.5511053,223.4488947
-1116,-836.0504867,279.9495133,,1116,890.9714914,225.0285086
-1152,-871.8807121,280.1192879,,1152,925.2816173,226.7183827
-1188,-907.8076299,280.1923701,,1188,959.8370181,228.1629819
-1224,-943.7316033,280.2683967,,1224,994.4533982,229.5466018
-1260,-979.6526331,280.3473669,,1260,1029.126255,230.873745
-1296,-1015.130208,280.8697916,,1296,1063.661824,232.338176
-1332,-1051.045389,280.9546107,,1332,1098.433892,233.5661082
-1368,-1086.957629,281.0423712,,1368,1133.251291,234.7487089
-1404,-1122.866928,281.1330723,,1404,1168.110908,235.8890917
-1440,-1157.820546,282.1794542,,1440,1202.81336,237.1866398
-1476,-1193.724043,282.2759566,,1476,1237.747518,238.2524822
-1512,-1229.624602,282.3753976,,1512,1272.71607,239.2839299
-1548,-1265.522224,282.4777763,,1548,1307.716795,240.2832046
-1584,-1300.464477,283.5355233,,1584,1342.545222,241.454778
-1620,-1336.356302,283.6436976,,1620,1377.602937,242.3970625
-1656,-1372.245192,283.7548076,,1656,1412.687173,243.3128273
-1692,-1408.131147,283.8688526,,1692,1447.796299,244.2037007
-1728,-1443.062047,284.9379534,,1728,1482.721271,245.278729
-1764,-1478.942212,285.0577883,,1764,1517.874563,246.1254368
-1800,-1514.819444,285.1805561,,1800,1553.04856,246.95144
-1836,-1550.693744,285.3062559,,1836,1588.242041,247.7579594
-1872,-1585.6133,286.3866996,,1872,1623.241851,248.758149
-1908,-1621.481816,286.5181837,,1908,1658.469909,249.5300915
-1944,-1657.347402,286.6525978,,1944,1693.714283,250.2857175
-1980,-1693.210059,286.7899412,,1980,1728.97404,251.0259605
-2016,-1728.118283,287.8817166,,2016,1764.032333,251.9676666
-2052,-1763.975161,288.0248387,,2052,1799.319355,252.6806452
-2088,-1799.829112,288.1708878,,2088,1834.619319,253.3806814
-2124,-1835.680137,288.3198633,,2124,1869.931499,254.0685011
-2160,-1870.57704,289.4229596,,2160,1905.035722,254.9642782
-2196,-1906.422292,289.5777081,,2196,1940.369493,255.6305074
-2232,-1942.264619,289.735381,,2232,1975.713569,256.2864313
-2268,-1978.104023,289.8959773,,2268,2011.067377,256.9326234
-2304,-2012.989617,291.0103834,,2304,2046.207734,257.792266
-2340,-2048.823253,291.1767472,,2340,2081.578663,258.4213374
-2376,-2084.653968,291.3460325,,2376,2116.957805,259.0421951
-2412,-2120.481762,291.5182384,,2412,2152.344702,259.6552978
-2448,-2155.356057,292.6439432,,2448,2187.513442,260.4865579
-2484,-2191.178089,292.821911,,2484,2222.913891,261.0861093
-2520,-2226.997203,293.0027974,,2520,2258.320873,261.6791271
-2556,-2262.813398,293.1866017,,2556,2293.734017,262.2659831
-2592,-2297.676406,294.3235943,,2592,2328.924925,263.075075
-2628,-2333.486845,294.5131548,,2628,2364.348736,263.6512643
-2664,-2369.294369,294.705631,,2664,2399.777714,264.2222856
-2700,-2405.098978,294.9010223,,2700,2435.211557,264.7884432
-2736,-2439.950708,296.0492918,,2736,2470.419594,265.580406
-2772,-2475.749566,296.2504338,,2772,2505.861746,266.1382537
-2808,-2511.545511,296.4544887,,2808,2541.307945,266.6920549
-2844,-2547.338544,296.6614558,,2844,2576.757939,267.2420611
-2880,-2582.179009,297.8209912,,2880,2611.730682,268.2693182
-2916,-2617.966297,298.0337034,,2916,2647.186491,268.813509
-2952,-2653.750674,298.2493256,,2952,2682.645429,269.3545712
-2988,-2689.532143,298.4678573,,2988,2718.107285,269.8927152
-3024,-2724.361352,299.6386477,,3024,2752.641994,271.3580064
-3060,-2760.137081,299.8629189,,3060,2788.10721,271.8927902
-3096,-2795.909903,300.0900974,,3096,2823.574804,272.4251956
-3132,-2831.679818,300.3201825,,3132,2859.0446,272.9554003
-3168,-2866.497783,301.502217,,3168,2893.579864,274.4201357
-3204,-2902.261964,301.738036,,3204,2929.051817,274.9481835
-3240,-2938.02324,301.9767595,,3240,2964.525513,275.4744871
-3276,-2973.781613,302.2183868,,3276,3000.000802,275.9991978
-3312,-3008.588345,303.4116545,,3312,3034.5348,277.4651997
