P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,,P_AC_out_only_PE,,,P_Ac_in_only_PE,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0
-36,0,36,,36,4.132468878,31.86753112,,-36,-36,0,,36,36.01390742,0.013907424,,,-36,31.8536237,,36,36
-72,0,72,,72,14.82653411,57.17346589,,-72,-72,0,,72,72.03101035,0.031010348,,,-72,57.14245554,,72,72
-108,0,108,,108,30.24299786,77.75700214,,-108,-108,0,,108,108.0513092,0.051309198,,,-108,77.70569294,,108,108
-144,0,144,,144,49.13829982,94.86170018,,-144,-144,0,,144,144.0748542,0.074854195,,,-144,94.78684599,,144,144
-180,0,180,,180,70.7374636,109.2625364,,-180,-180,0,,180,180.1015586,0.101558629,,,-180,109.1609778,,180,180
-216,0,216,,216,94.43120595,121.5687941,,-216,-216,0,,216,216.1314603,0.131460268,,,-216,121.4373338,,216,216
-252,0,252,,252,119.7918724,132.2081276,,-252,-252,0,,252,252.1645595,0.16455954,,,-252,132.0435681,,252,252
-288,-11.93418261,276.0658174,,288,146.4280233,141.5719767,,-288,-287.9960715,-0.003928505,,288,288.2009565,0.200956501,,,-288,141.3710202,,288,276.0618889
-324,-47.93171941,276.0682806,,324,174.2337755,149.7662245,,-324,-323.9822502,-0.017749753,,324,324.2404648,0.240464782,,,-324,149.5257597,,324,276.0505308
-360,-83.92629451,276.0737055,,360,202.9579295,157.0420705,,-360,-359.9654692,-0.034530827,,360,360.283172,0.283171978,,,-360,156.7588985,,360,276.0391747
-396,-119.9179086,276.0820914,,396,232.4528218,163.5471782,,-396,-395.945729,-0.054270997,,396,396.3290785,0.329078517,,,-396,163.2180997,,396,276.0278204
-432,-154.4201664,277.5798336,,432,262.49697,169.50303,,-432,-431.9237642,-0.076235842,,432,432.3783343,0.378334322,,,-432,169.1246957,,432,277.5035978
-468,-190.405983,277.594017,,468,293.1963612,174.8036388,,-468,-467.898169,-0.101831004,,468,468.4306533,0.4306533,,,-468,174.3729855,,468,277.492186
-504,-226.3888409,277.6111591,,504,324.3767026,179.6232974,,-504,-503.8696169,-0.130383092,,504,504.4861729,0.486172904,,,-504,179.1371245,,504,277.480776
-540,-262.3687406,277.6312594,,540,355.9740979,184.0259021,,-540,-539.8381086,-0.161891377,,540,540.5448936,0.544893563,,,-540,183.4810085,,540,277.469368
-576,-297.048052,278.951948,,576,387.8079864,188.1920136,,-576,-575.8044986,-0.19550139,,576,576.6070151,0.607015105,,,-576,187.5849985,,576,278.7564466
-612,-333.0221444,278.9778556,,612,420.0836722,191.9163278,,-612,-611.7671333,-0.232866675,,612,612.6721516,0.672151637,,,-612,191.2441762,,612,278.7449889
