P_AC_out_only_PE,,,P_Ac_in_only_PE,
0,0,,0,0
-36,31.8536237,,36,36
-72,57.14245554,,72,72
-108,77.70569294,,108,108
-144,94.78684599,,144,144
-180,109.1609778,,180,180
-216,121.4373338,,216,216
-252,132.0435681,,252,252
-288,141.3710202,,288,276.0618889
-324,149.5257597,,324,276.0505308
-360,156.7588985,,360,276.0391747
-396,163.2180997,,396,276.0278204
-432,169.1246957,,432,277.5035978
-468,174.3729855,,468,277.492186
-504,179.1371245,,504,277.480776
-540,183.4810085,,540,277.469368
-576,187.5849985,,576,278.7564466
-612,191.2441762,,612,278.7449889
-648,194.6180647,,648,278.7335331
-684,197.7386719,,684,278.7220792
-720,200.7788834,,720,278.8104363
-756,203.4752322,,756,278.798982
-792,205.9894616,,792,278.7875297
-828,208.3393411,,828,278.7760791
-864,210.7003332,,864,278.8644233
-900,212.76937,,900,278.8529725
-936,214.7150786,,936,278.8415235
-972,216.5481041,,972,278.8300764
-1008,218.4494975,,1008,278.9184077
-1044,220.0870816,,1044,278.9069602
-1080,221.6372761,,1080,278.8955147
-1116,223.1068441,,1116,278.8840709
-1152,224.6830646,,1152,278.9723892
-1188,226.0111882,,1188,278.9609451
-1224,227.2751234,,1224,278.949503
-1260,228.4793722,,1260,278.9380628
-1296,229.8172492,,1296,279.3677871
-1332,230.9158539,,1332,279.3563326
-1368,231.9659161,,1368,279.3448799
-1404,232.9705491,,1404,279.3334289
-1440,234.1286359,,1440,280.2762847
-1476,235.0522919,,1476,280.2647984
-1512,235.9383405,,1512,280.2533141
-1548,236.789003,,1548,280.2418316
-1584,237.8082009,,1584,281.1845013
-1620,238.5954331,,1620,281.1729834
-1656,239.3529312,,1656,281.1614674
-1692,240.0823231,,1692,281.1499533
-1728,240.9920546,,1728,282.0924371
-1764,241.6708374,,1764,282.0808876
-1800,242.3256994,,1800,282.0693402
-1836,242.957861,,1836,282.0577945
-1872,243.7798257,,1872,283.0000924
-1908,244.3709634,,1908,282.9885114
-1944,244.9425667,,1944,282.9769324
-1980,245.4955688,,1980,282.9653553
-2016,246.2461147,,2016,283.9074675
-2052,246.7654019,,2052,283.8958552
-2088,247.268527,,2088,283.8842446
-2124,247.7562156,,2124,283.872636
-2160,248.4478903,,2160,284.8145627
-2196,248.9075344,,2196,284.8029188
-2232,249.3536518,,2232,284.7912769
-2268,249.7868157,,2268,284.7796368
-2304,250.4294067,,2304,285.7213782
-2340,250.8389924,,2340,285.7097029
-2376,251.2371413,,2376,285.6980296
-2412,251.6243116,,2412,285.6863582
-2448,252.2255639,,2448,286.6279142
-2484,252.592722,,2484,286.6162076
-2520,252.9501215,,2520,286.604503
-2556,253.2981341,,2556,286.5928002
-2592,253.8642549,,2592,287.5341712
-2628,254.1951363,,2628,287.5224333
-2664,254.517623,,2664,287.5106972
-2700,254.832019,,2700,287.4989632
-2736,255.3680405,,2736,288.4401492
-2772,255.6676586,,2772,288.42838
